Invoice_Number,Invoice_Date,Year,Month,Quarter,Day,Weekday,Customer_ID,Customer_Name,Customer_Type,Industry,Region_ID,Region_Name,Zone,Salesperson_ID,Salesperson_Name,Designation,Product_ID,Product_Name,Category,Quantity,Manufacturing_Cost,Selling_Price,Subtotal,Discount_Percent,Discount_Amount,GST,Profit,Total_Amount,Payment_Method,Payment_Status,Delivery_Status,Lead_Time_Days,Demand_Level
INV100001,2025-08-02,2025,8,3,2,Saturday,CUST0047,Engineers India Branch 8,Platinum,Energy,REG003,Delhi NCR,North,SP0019,Vikas Verma,Sales Executive,PRD0008,Float Shoe,Drilling Tools,4,781741,1042887,4171548,0,0.0,750878.64,1044584,4922426.64,Cheque,Pending,Delivered,10,High
INV100002,2023-04-03,2023,4,2,3,Monday,CUST0419,GAIL India Branch 25,Platinum,Energy,REG004,Haryana,North,SP0037,Neha Sharma,Sales Executive,PRD0015,Completion Valve,Downhole Tools,5,894731,1269705,6348525,0,0.0,1142734.5,1874870,7491259.5,Cheque,Overdue,Processing,18,Medium
INV100003,2022-06-28,2022,6,2,28,Tuesday,CUST0334,Cairn Oil Branch 6,Silver,Engineering,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0001,Hydraulic Cylinder,Downhole Tools,19,970487,1191595,22640305,15,3396045.75,3463966.66,4201052,22708225.91,Cash,Paid,Delivered,20,High
INV100004,2023-03-24,2023,3,1,24,Friday,CUST0370,GAIL India Branch 2,Gold,Mining,REG005,Punjab,North,SP0058,Amit Yadav,Area Sales Manager,PRD0008,Float Shoe,Drilling Tools,8,781741,1042887,8343096,20,1668619.2,1201405.82,2089168,7875882.62,NEFT,Paid,Processing,10,High
INV100005,2023-02-12,2023,2,1,12,Sunday,CUST0256,HPCL Branch 26,Gold,Engineering,REG007,Maharashtra,West,SP0056,Neha Yadav,Area Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,23,1002729,1270201,29214623,20,5842924.6,4206905.71,6151856,27578604.11,RTGS,Paid,In Transit,15,Low
INV100006,2025-04-21,2025,4,2,21,Monday,CUST0412,Baker Hughes Branch 22,Silver,Mining,REG005,Punjab,North,SP0017,Vikas Patel,Senior Sales Executive,PRD0012,Tubing Hanger,Hydraulic Equipment,9,1002729,1270201,11431809,0,0.0,2057725.62,2407248,13489534.62,UPI,Overdue,In Transit,15,Low
INV100007,2023-11-28,2023,11,4,28,Tuesday,CUST0148,Oil India Branch 19,Gold,Mining,REG001,Rajasthan,North,SP0032,Priya Kumar,Sales Executive,PRD0013,Wellhead Assembly,Wellhead Equipment,9,784714,1016097,9144873,5,457243.65,1563773.28,2082447,10251402.63,UPI,Pending,Delivered,19,Low
INV100008,2022-07-09,2022,7,3,9,Saturday,CUST0170,Bharat Petroleum Branch 24,Gold,Manufacturing,REG008,Madhya Pradesh,Central,SP0062,Rohit Kumar,Sales Executive,PRD0003,Stabilizer,Completion Tools,13,331244,405251,5268263,0,0.0,948287.34,962091,6216550.34,Bank Transfer,Pending,Processing,37,High
INV100009,2023-06-26,2023,6,2,26,Monday,CUST0146,Tata Steel Branch 6,Platinum,Engineering,REG009,Tamil Nadu,South,SP0055,Rahul Singh,Area Sales Manager,PRD0012,Tubing Hanger,Hydraulic Equipment,2,1002729,1270201,2540402,15,381060.3,388681.51,534944,2548023.21,NEFT,Paid,In Transit,15,Low
INV100010,2022-06-11,2022,6,2,11,Saturday,CUST0381,Cairn Oil Branch 27,Platinum,Manufacturing,REG009,Tamil Nadu,South,SP0099,Ankit Agarwal,Sales Executive,PRD0010,Liner Hanger,Downhole Tools,18,993384,1248658,22475844,10,2247584.4,3641086.73,4594932,23869346.33,Cheque,Overdue,In Transit,10,Low
