Customer_ID,Customer_Name,Region_ID,Region_Name,Industry,Customer_Type,Status
CUST0001,Reliance Industries Branch 24,REG004,Haryana,Energy,Silver,Active
CUST0002,HPCL Branch 24,REG008,Madhya Pradesh,Oil & Gas,Platinum,Active
CUST0003,ONGC Branch 19,REG018,Chhattisgarh,Mining,Silver,Active
CUST0004,ONGC Branch 7,REG001,Rajasthan,Manufacturing,Platinum,Active
CUST0005,Reliance Industries Branch 18,REG020,Goa,Manufacturing,Platinum,Active
CUST0006,Adani Power Branch 8,REG018,Chhattisgarh,Mining,Platinum,Active
CUST0007,Reliance Industries Branch 25,REG009,Tamil Nadu,Manufacturing,Platinum,Active
CUST0008,Larsen & Toubro Branch 9,REG014,Odisha,Manufacturing,Silver,Active
CUST0009,Bharat Petroleum Branch 3,REG011,Andhra Pradesh,Mining,Silver,Active
CUST0010,Tata Steel Branch 20,REG012,Telangana,Energy,Silver,Active
CUST0011,Schlumberger Branch 4,REG015,West Bengal,Mining,Silver,Active
CUST0012,Oil India Branch 27,REG018,Chhattisgarh,Engineering,Gold,Active
CUST0013,Cairn Oil Branch 23,REG019,Bihar,Oil & Gas,Silver,Active
CUST0014,Oil India Branch 3,REG008,Madhya Pradesh,Manufacturing,Silver,Active
CUST0015,GAIL India Branch 15,REG013,Kerala,Energy,Silver,Active
CUST0016,Tata Steel Branch 7,REG012,Telangana,Energy,Platinum,Active
CUST0017,Baker Hughes Branch 21,REG003,Delhi NCR,Manufacturing,Platinum,Active
CUST0018,Vedanta Limited Branch 15,REG008,Madhya Pradesh,Mining,Gold,Active
CUST0019,Essar Oil Branch 22,REG018,Chhattisgarh,Energy,Silver,Active
CUST0020,Indian Oil Branch 26,REG008,Madhya Pradesh,Energy,Gold,Active
CUST0021,ONGC Branch 7,REG009,Tamil Nadu,Engineering,Platinum,Active
CUST0022,Cairn Oil Branch 21,REG011,Andhra Pradesh,Mining,Gold,Active
CUST0023,HPCL Branch 9,REG015,West Bengal,Manufacturing,Silver,Active
CUST0024,Schlumberger Branch 9,REG018,Chhattisgarh,Engineering,Gold,Active
CUST0025,JSW Steel Branch 12,REG019,Bihar,Manufacturing,Silver,Active
CUST0026,BHEL Branch 3,REG017,Jharkhand,Oil & Gas,Silver,Active
CUST0027,Vedanta Limited Branch 26,REG005,Punjab,Mining,Platinum,Active
CUST0028,JSW Steel Branch 13,REG003,Delhi NCR,Engineering,Gold,Active
CUST0029,GAIL India Branch 18,REG017,Jharkhand,Oil & Gas,Platinum,Active
CUST0030,Schlumberger Branch 25,REG004,Haryana,Energy,Platinum,Active
CUST0031,Bharat Petroleum Branch 10,REG011,Andhra Pradesh,Mining,Silver,Active
CUST0032,Reliance Industries Branch 24,REG015,West Bengal,Energy,Platinum,Active
CUST0033,Engineers India Branch 30,REG006,Uttar Pradesh,Oil & Gas,Platinum,Active
CUST0034,Engineers India Branch 20,REG010,Karnataka,Manufacturing,Silver,Active
CUST0035,Vedanta Limited Branch 18,REG012,Telangana,Engineering,Silver,Active
CUST0036,Larsen & Toubro Branch 16,REG020,Goa,Oil & Gas,Silver,Active
CUST0037,Oil India Branch 8,REG012,Telangana,Oil & Gas,Silver,Active
CUST0038,ONGC Branch 3,REG019,Bihar,Mining,Silver,Active
CUST0039,HPCL Branch 5,REG018,Chhattisgarh,Mining,Platinum,Active
CUST0040,GAIL India Branch 17,REG006,Uttar Pradesh,Engineering,Gold,Active
CUST0041,Schlumberger Branch 25,REG007,Maharashtra,Manufacturing,Platinum,Active
CUST0042,JSW Steel Branch 22,REG010,Karnataka,Energy,Gold,Active
CUST0043,NTPC Branch 4,REG017,Jharkhand,Manufacturing,Silver,Active
CUST0044,Larsen & Toubro Branch 1,REG003,Delhi NCR,Engineering,Platinum,Active
CUST0045,Halliburton Branch 8,REG008,Madhya Pradesh,Oil & Gas,Silver,Active
CUST0046,Essar Oil Branch 3,REG002,Gujarat,Oil & Gas,Gold,Active
CUST0047,Engineers India Branch 8,REG003,Delhi NCR,Energy,Platinum,Active
CUST0048,Cairn Oil Branch 18,REG016,Assam,Manufacturing,Platinum,Active
CUST0049,Halliburton Branch 16,REG019,Bihar,Manufacturing,Gold,Active
CUST0050,Cairn Oil Branch 4,REG014,Odisha,Oil & Gas,Platinum,Active
CUST0051,Tata Steel Branch 14,REG014,Odisha,Mining,Gold,Active
CUST0052,Bharat Petroleum Branch 2,REG002,Gujarat,Mining,Platinum,Active
CUST0053,Bharat Petroleum Branch 8,REG011,Andhra Pradesh,Manufacturing,Silver,Active
CUST0054,NTPC Branch 5,REG018,Chhattisgarh,Mining,Silver,Active
CUST0055,NTPC Branch 8,REG009,Tamil Nadu,Oil & Gas,Gold,Active
CUST0056,Bharat Petroleum Branch 2,REG018,Chhattisgarh,Engineering,Silver,Active
CUST0057,Essar Oil Branch 6,REG003,Delhi NCR,Mining,Gold,Active
CUST0058,Cairn Oil Branch 28,REG016,Assam,Mining,Silver,Active
CUST0059,JSW Steel Branch 1,REG006,Uttar Pradesh,Mining,Gold,Active
CUST0060,Oil India Branch 14,REG015,West Bengal,Engineering,Platinum,Active
CUST0061,HPCL Branch 7,REG016,Assam,Energy,Silver,Active
CUST0062,Halliburton Branch 24,REG002,Gujarat,Engineering,Silver,Active
CUST0063,Indian Oil Branch 2,REG011,Andhra Pradesh,Engineering,Gold,Active
CUST0064,Engineers India Branch 6,REG017,Jharkhand,Oil & Gas,Platinum,Active
CUST0065,Vedanta Limited Branch 3,REG003,Delhi NCR,Engineering,Silver,Active
CUST0066,JSW Steel Branch 4,REG008,Madhya Pradesh,Engineering,Silver,Active
CUST0067,Baker Hughes Branch 2,REG019,Bihar,Engineering,Silver,Active
CUST0068,Halliburton Branch 19,REG014,Odisha,Engineering,Gold,Active
CUST0069,Cairn Oil Branch 22,REG009,Tamil Nadu,Energy,Silver,Active
CUST0070,JSW Steel Branch 5,REG009,Tamil Nadu,Energy,Gold,Active
CUST0071,ONGC Branch 1,REG011,Andhra Pradesh,Mining,Platinum,Active
CUST0072,Bharat Petroleum Branch 3,REG019,Bihar,Engineering,Silver,Active
CUST0073,GAIL India Branch 5,REG017,Jharkhand,Energy,Silver,Active
CUST0074,Tata Steel Branch 10,REG008,Madhya Pradesh,Manufacturing,Gold,Active
CUST0075,Oil India Branch 20,REG018,Chhattisgarh,Engineering,Silver,Active
CUST0076,Oil India Branch 30,REG018,Chhattisgarh,Oil & Gas,Silver,Active
CUST0077,Bharat Petroleum Branch 29,REG009,Tamil Nadu,Oil & Gas,Platinum,Active
CUST0078,HPCL Branch 9,REG018,Chhattisgarh,Energy,Platinum,Active
CUST0079,Larsen & Toubro Branch 7,REG007,Maharashtra,Energy,Platinum,Active
CUST0080,GAIL India Branch 29,REG016,Assam,Oil & Gas,Silver,Active
CUST0081,GAIL India Branch 2,REG014,Odisha,Oil & Gas,Gold,Active
CUST0082,GAIL India Branch 6,REG005,Punjab,Mining,Platinum,Active
CUST0083,Schlumberger Branch 1,REG014,Odisha,Oil & Gas,Silver,Active
CUST0084,Schlumberger Branch 2,REG005,Punjab,Energy,Platinum,Active
CUST0085,HPCL Branch 14,REG018,Chhattisgarh,Manufacturing,Silver,Active
CUST0086,Tata Steel Branch 29,REG010,Karnataka,Oil & Gas,Gold,Active
CUST0087,Essar Oil Branch 22,REG007,Maharashtra,Oil & Gas,Gold,Active
CUST0088,Adani Power Branch 20,REG018,Chhattisgarh,Manufacturing,Silver,Active
CUST0089,Vedanta Limited Branch 29,REG006,Uttar Pradesh,Mining,Silver,Active
CUST0090,Larsen & Toubro Branch 26,REG006,Uttar Pradesh,Mining,Platinum,Active
CUST0091,GAIL India Branch 6,REG008,Madhya Pradesh,Oil & Gas,Gold,Active
CUST0092,BHEL Branch 8,REG002,Gujarat,Manufacturing,Gold,Active
CUST0093,Oil India Branch 27,REG012,Telangana,Manufacturing,Silver,Active
CUST0094,Cairn Oil Branch 13,REG001,Rajasthan,Energy,Gold,Active
CUST0095,GAIL India Branch 12,REG003,Delhi NCR,Engineering,Gold,Active
CUST0096,Larsen & Toubro Branch 1,REG018,Chhattisgarh,Oil & Gas,Gold,Active
CUST0097,Halliburton Branch 9,REG006,Uttar Pradesh,Oil & Gas,Silver,Active
CUST0098,Adani Power Branch 12,REG020,Goa,Energy,Gold,Active
CUST0099,Engineers India Branch 4,REG020,Goa,Mining,Platinum,Active
CUST0100,GAIL India Branch 2,REG007,Maharashtra,Mining,Silver,Active
CUST0101,Schlumberger Branch 22,REG017,Jharkhand,Manufacturing,Gold,Active
CUST0102,ONGC Branch 22,REG014,Odisha,Energy,Platinum,Active
CUST0103,Bharat Petroleum Branch 24,REG011,Andhra Pradesh,Energy,Platinum,Active
CUST0104,Adani Power Branch 11,REG010,Karnataka,Mining,Platinum,Active
CUST0105,Schlumberger Branch 5,REG010,Karnataka,Manufacturing,Gold,Active
CUST0106,Vedanta Limited Branch 20,REG013,Kerala,Engineering,Gold,Active
CUST0107,Schlumberger Branch 27,REG013,Kerala,Oil & Gas,Gold,Active
CUST0108,Cairn Oil Branch 14,REG010,Karnataka,Engineering,Platinum,Active
CUST0109,NTPC Branch 15,REG011,Andhra Pradesh,Mining,Platinum,Active
CUST0110,Engineers India Branch 16,REG007,Maharashtra,Manufacturing,Platinum,Active
CUST0111,Oil India Branch 17,REG003,Delhi NCR,Engineering,Gold,Active
CUST0112,Essar Oil Branch 22,REG003,Delhi NCR,Energy,Silver,Active
CUST0113,HPCL Branch 1,REG007,Maharashtra,Oil & Gas,Silver,Active
CUST0114,Baker Hughes Branch 28,REG016,Assam,Oil & Gas,Gold,Active
CUST0115,Halliburton Branch 7,REG014,Odisha,Mining,Gold,Active
CUST0116,Essar Oil Branch 5,REG013,Kerala,Oil & Gas,Silver,Active
CUST0117,Essar Oil Branch 6,REG014,Odisha,Engineering,Gold,Active
CUST0118,Schlumberger Branch 8,REG002,Gujarat,Oil & Gas,Gold,Active
CUST0119,NTPC Branch 22,REG005,Punjab,Engineering,Platinum,Active
